Epoch, Batch, D Loss, G Loss
1, 0, 1.3816, 0.7044
1, 200, 0.3744, 2.7545
1, 400, 0.0007, 12.7470
2, 0, 0.3337, 3.9223
2, 200, 1.1449, 2.2579
2, 400, 1.5859, 2.9829
3, 0, 0.8139, 2.0165
3, 200, 2.3302, 0.4681
3, 400, 0.9455, 1.5923
4, 0, 0.4452, 2.2949
4, 200, 0.3136, 2.6552
4, 400, 0.4701, 2.9574
5, 0, 0.3462, 2.1824
5, 200, 0.4066, 3.4907
5, 400, 0.3479, 4.9698
6, 0, 0.4192, 2.3773
6, 200, 0.3274, 2.6675
6, 400, 0.3637, 3.4006
7, 0, 0.3116, 2.8281
7, 200, 0.2492, 3.0736
7, 400, 0.1347, 3.6493
8, 0, 0.3420, 3.2428
8, 200, 0.4465, 2.6974
8, 400, 0.5243, 3.3719
9, 0, 0.3766, 3.2875
9, 200, 0.3511, 2.7150
9, 400, 0.7721, 2.7597
10, 0, 0.6348, 2.9210
10, 200, 0.6233, 2.9228
10, 400, 0.4012, 2.4116
11, 0, 0.2803, 3.5472
11, 200, 0.3980, 2.5479
11, 400, 0.7838, 1.9063
12, 0, 0.9480, 2.2914
12, 200, 0.6292, 2.6933
12, 400, 0.3975, 2.5045
13, 0, 0.6492, 2.2541
13, 200, 0.7960, 2.2923
13, 400, 0.5965, 1.6833
14, 0, 0.6390, 2.6204
14, 200, 0.6748, 1.7017
14, 400, 0.8414, 1.9504
15, 0, 0.7156, 1.6866
15, 200, 0.9346, 2.2051
15, 400, 0.8118, 1.5801
16, 0, 0.6494, 2.2247
16, 200, 0.8211, 1.3930
16, 400, 1.0364, 1.2621
17, 0, 0.9356, 2.1827
17, 200, 0.7873, 2.0846
17, 400, 0.9997, 1.6670
18, 0, 0.8860, 1.4557
18, 200, 1.0783, 1.8860
18, 400, 0.8332, 1.3512
19, 0, 0.8375, 1.9599
19, 200, 0.6371, 2.2918
19, 400, 0.7394, 1.7719
20, 0, 1.1333, 1.6830
20, 200, 0.9913, 1.2457
20, 400, 0.7758, 2.0364
21, 0, 1.0321, 1.6788
21, 200, 0.9501, 1.9500
21, 400, 1.0811, 1.4731
22, 0, 1.1096, 1.2508
22, 200, 0.9564, 1.3398
22, 400, 1.0337, 1.3931
23, 0, 1.0111, 1.5060
23, 200, 0.8416, 1.4541
23, 400, 0.9526, 1.4889
24, 0, 0.8911, 1.8804
24, 200, 0.8311, 2.0493
24, 400, 1.1265, 1.6718
25, 0, 0.7120, 1.7884
25, 200, 0.8716, 2.2619
25, 400, 0.8781, 1.5596
26, 0, 0.9650, 1.2162
26, 200, 0.8544, 1.4342
26, 400, 0.7918, 1.9628
27, 0, 1.2522, 1.9134
27, 200, 0.8601, 1.4089
27, 400, 0.8746, 1.8175
28, 0, 0.8031, 1.1802
28, 200, 0.8641, 1.8319
28, 400, 0.9335, 1.3099
29, 0, 0.9787, 1.3077
29, 200, 1.0657, 1.2872
29, 400, 0.9501, 1.1557
30, 0, 1.0261, 1.2878
30, 200, 1.0306, 1.2929
30, 400, 1.0441, 1.3349
31, 0, 1.0995, 1.0889
31, 200, 0.8852, 1.4535
31, 400, 1.1685, 1.3439
32, 0, 1.0778, 1.2033
32, 200, 0.8625, 1.3948
32, 400, 0.9381, 1.6602
33, 0, 0.9904, 1.9277
33, 200, 1.0699, 1.1425
33, 400, 1.0579, 1.3129
34, 0, 1.0293, 1.3446
34, 200, 1.0686, 1.3638
34, 400, 0.9280, 1.4860
35, 0, 1.0150, 1.2613
35, 200, 1.1237, 1.1526
35, 400, 1.2175, 1.4988
36, 0, 1.0851, 1.2950
36, 200, 1.0603, 1.4638
36, 400, 1.0295, 1.4852
37, 0, 1.2566, 1.1716
37, 200, 0.9802, 1.2844
37, 400, 0.8769, 1.6387
38, 0, 0.7972, 1.7203
38, 200, 1.0424, 1.1900
38, 400, 1.0409, 1.3654
39, 0, 1.0898, 1.1836
39, 200, 1.1595, 1.4602
39, 400, 1.2353, 1.0507
40, 0, 0.9834, 1.5860
40, 200, 0.9926, 1.0982
40, 400, 1.0491, 1.2099
41, 0, 1.0385, 0.8993
41, 200, 1.0549, 0.9666
41, 400, 1.1627, 0.9198
42, 0, 1.1143, 1.1642
42, 200, 1.2295, 0.9262
42, 400, 1.1739, 1.1431
43, 0, 1.0008, 1.1294
43, 200, 1.1769, 1.2528
43, 400, 0.9113, 1.4163
44, 0, 1.0404, 1.3247
44, 200, 0.9835, 1.2846
44, 400, 1.1126, 1.1631
45, 0, 0.9906, 1.2509
45, 200, 1.0070, 1.3075
45, 400, 1.0816, 0.9663
46, 0, 1.2536, 0.9192
46, 200, 1.1615, 1.2536
46, 400, 1.0470, 1.0873
47, 0, 1.1768, 1.0448
47, 200, 1.0267, 1.2615
47, 400, 0.9576, 1.3870
48, 0, 1.1323, 1.3165
48, 200, 1.1008, 1.4216
48, 400, 1.0838, 1.0977
49, 0, 1.1535, 1.0629
49, 200, 1.0906, 1.2207
49, 400, 1.0102, 1.2449
50, 0, 1.2408, 0.9569
50, 200, 1.3035, 0.8566
50, 400, 1.1770, 1.3137
51, 0, 1.1185, 1.0426
51, 200, 1.0633, 1.0120
51, 400, 1.0343, 0.9646
52, 0, 1.1798, 1.1457
52, 200, 1.1666, 1.2914
52, 400, 1.1361, 1.1396
53, 0, 1.0434, 1.0668
53, 200, 1.3057, 0.9569
53, 400, 1.2534, 0.9587
54, 0, 1.2813, 0.8858
54, 200, 1.0351, 1.0064
54, 400, 1.1057, 1.1267
55, 0, 1.2472, 0.8387
55, 200, 1.1329, 1.3010
55, 400, 1.1727, 0.9485
56, 0, 1.2949, 1.0077
56, 200, 1.0966, 1.2223
56, 400, 1.0989, 1.1690
57, 0, 1.2867, 1.0642
57, 200, 1.1617, 1.2244
57, 400, 1.0131, 1.1354
58, 0, 1.1572, 0.9881
58, 200, 1.4249, 0.9089
58, 400, 1.3501, 1.0190
59, 0, 1.2663, 1.0627
59, 200, 1.0498, 1.0176
59, 400, 1.1237, 1.0918
60, 0, 1.2071, 0.8846
60, 200, 1.3599, 1.0226
60, 400, 0.9582, 1.3679
61, 0, 1.1315, 1.0706
61, 200, 1.2093, 1.0755
61, 400, 1.0870, 1.0626
62, 0, 1.1425, 0.9904
62, 200, 1.1734, 1.1816
62, 400, 1.1324, 1.0057
63, 0, 0.9866, 1.1651
63, 200, 1.0374, 1.1781
63, 400, 1.2013, 0.9213
64, 0, 1.1466, 1.0889
64, 200, 1.0028, 1.2062
64, 400, 1.2290, 1.0295
65, 0, 1.3096, 0.8568
65, 200, 1.2321, 0.8631
65, 400, 1.2827, 0.8441
66, 0, 1.1046, 1.1918
66, 200, 1.3570, 1.1896
66, 400, 1.1037, 1.0985
67, 0, 1.2238, 0.9640
67, 200, 1.3319, 0.9706
67, 400, 1.3688, 0.8650
68, 0, 1.1285, 1.1753
68, 200, 1.2106, 0.9077
68, 400, 1.2407, 1.0770
69, 0, 1.2216, 0.9191
69, 200, 1.2498, 1.1529
69, 400, 1.1655, 1.0043
70, 0, 1.2558, 0.7775
70, 200, 1.1637, 1.1343
70, 400, 1.1729, 0.8995
71, 0, 1.1683, 0.9704
71, 200, 1.2695, 0.9287
71, 400, 1.3050, 1.0330
72, 0, 1.1613, 1.0782
72, 200, 1.1467, 0.9710
72, 400, 1.2468, 0.9431
73, 0, 1.1981, 0.8038
73, 200, 1.1301, 1.0210
73, 400, 1.2142, 0.9645
74, 0, 1.2782, 0.9035
74, 200, 1.1898, 0.8615
74, 400, 1.2752, 1.0238
75, 0, 1.1564, 1.0126
75, 200, 1.3694, 1.0941
75, 400, 1.1868, 1.0570
76, 0, 1.1615, 1.0232
76, 200, 1.1022, 1.0111
76, 400, 1.2043, 1.0427
77, 0, 1.3102, 0.9976
77, 200, 1.3020, 0.8907
77, 400, 1.2475, 0.9832
78, 0, 1.3249, 0.8293
78, 200, 1.2476, 0.9269
78, 400, 1.2854, 1.0068
79, 0, 1.0811, 0.9385
79, 200, 1.4178, 0.8323
79, 400, 1.2160, 0.9427
80, 0, 1.3569, 0.8590
80, 200, 1.2368, 0.8967
80, 400, 1.4061, 0.9938
81, 0, 1.3159, 0.8463
81, 200, 1.3970, 0.8149
81, 400, 1.2689, 0.8393
82, 0, 1.2515, 1.0502
82, 200, 1.1695, 0.8935
82, 400, 1.2305, 1.0037
83, 0, 1.0855, 1.1962
83, 200, 1.2012, 1.0419
83, 400, 1.2523, 0.9613
84, 0, 1.0738, 1.1268
84, 200, 1.3327, 1.0062
84, 400, 1.1868, 0.8471
85, 0, 1.2965, 0.8099
85, 200, 1.3631, 0.9316
85, 400, 1.2094, 0.9651
86, 0, 1.3346, 0.8532
86, 200, 1.3965, 1.0034
86, 400, 1.4023, 1.0588
87, 0, 1.2775, 0.8444
87, 200, 1.2370, 0.9295
87, 400, 1.2812, 0.9950
88, 0, 1.2450, 1.0292
88, 200, 1.1351, 1.0128
88, 400, 1.1969, 1.0422
89, 0, 1.1870, 1.1634
89, 200, 1.1981, 1.0929
89, 400, 1.3074, 0.9966
90, 0, 1.1523, 0.8573
90, 200, 1.2591, 0.8284
90, 400, 1.3795, 0.8678
91, 0, 1.2005, 0.9889
91, 200, 1.3011, 0.8952
91, 400, 1.1961, 0.9278
92, 0, 1.2746, 0.8291
92, 200, 1.2623, 0.9821
92, 400, 1.2320, 0.8851
93, 0, 1.4242, 0.8347
93, 200, 1.2798, 0.8185
93, 400, 1.2695, 0.8436
94, 0, 1.0590, 1.1798
94, 200, 1.1515, 1.0867
94, 400, 1.2547, 0.9177
95, 0, 1.2582, 0.8577
95, 200, 1.2757, 0.9539
95, 400, 1.2544, 0.8739
96, 0, 1.2235, 1.0764
96, 200, 1.2403, 1.1228
96, 400, 1.3076, 0.8932
97, 0, 1.1847, 0.9338
97, 200, 1.1310, 0.9514
97, 400, 1.3147, 0.9879
98, 0, 1.3150, 0.8152
98, 200, 1.2295, 1.1245
98, 400, 1.1193, 1.0000
99, 0, 1.3312, 1.0463
99, 200, 1.2247, 1.1307
99, 400, 1.2438, 1.0037
100, 0, 1.1890, 0.8196
100, 200, 1.0591, 1.0687
100, 400, 1.3118, 1.0164
101, 0, 1.2222, 0.9020
101, 200, 1.2172, 0.9637
101, 400, 1.2596, 0.9844
102, 0, 1.2634, 1.0086
102, 200, 1.3736, 1.0001
102, 400, 1.3217, 0.8606
103, 0, 1.2728, 0.9421
103, 200, 1.2427, 0.7297
103, 400, 1.4221, 0.8848
104, 0, 1.1860, 0.8551
104, 200, 1.2489, 0.9553
104, 400, 1.1868, 0.9745
105, 0, 1.2158, 0.8816
105, 200, 1.1127, 1.0411
105, 400, 1.1538, 0.9615
106, 0, 1.2167, 1.0420
106, 200, 1.2627, 0.8493
106, 400, 1.4658, 0.8260
107, 0, 1.2858, 0.8774
107, 200, 1.3009, 0.8988
107, 400, 1.2782, 0.8171
108, 0, 1.1990, 0.9912
108, 200, 1.2504, 0.8326
108, 400, 1.2468, 1.0083
109, 0, 1.3030, 0.9771
109, 200, 1.5484, 0.8635
109, 400, 1.1535, 0.9021
110, 0, 1.2830, 0.8366
110, 200, 1.3539, 0.8422
110, 400, 1.4465, 0.8741
111, 0, 1.3484, 1.0041
111, 200, 1.3283, 0.7890
111, 400, 1.3143, 1.0007
112, 0, 1.2810, 1.0056
112, 200, 1.3158, 0.9111
112, 400, 1.2398, 1.1509
113, 0, 1.3664, 0.9841
113, 200, 1.3802, 0.8171
113, 400, 1.2733, 0.8868
114, 0, 1.2107, 0.9611
114, 200, 1.0637, 0.9623
114, 400, 1.2831, 0.8636
115, 0, 1.3095, 0.9351
115, 200, 1.3166, 1.0023
115, 400, 1.3696, 0.8293
116, 0, 1.2909, 0.9072
116, 200, 1.3940, 0.9713
116, 400, 1.2531, 0.8092
117, 0, 1.3225, 0.8014
117, 200, 1.4122, 0.8728
117, 400, 1.1985, 0.8648
118, 0, 1.3377, 0.8221
118, 200, 1.1822, 0.9752
118, 400, 1.2186, 0.8843
119, 0, 1.3408, 0.8863
