Epoch, Batch, D Loss, G Loss
10, 400, 0.4012, 2.4116
20, 400, 0.7758, 2.0364
30, 400, 1.0441, 1.3349
40, 400, 1.0491, 1.2099
50, 400, 1.1770, 1.3137
60, 400, 0.9582, 1.3679
70, 400, 1.1729, 0.8995
80, 400, 1.4061, 0.9938
90, 400, 1.3795, 0.8678
100, 400, 1.3118, 1.0164
110, 400, 1.4465, 0.8741
120, 400, 1.2929, 1.0468
130, 400, 1.2410, 0.9381
140, 400, 1.3132, 0.8173
150, 400, 1.2312, 0.9176
160, 400, 1.3900, 0.8650
170, 400, 1.2184, 1.0469
180, 400, 1.1849, 0.8854
190, 400, 1.4378, 0.7576
200, 400, 1.2785, 0.8585
